Name,Latitude,Longitude
Roxbury Drive near confluence,41.76682,-123.02327
Mill Creek,41.74255,-123.00064
Allen Gulch,41.70045,-123.04536
Access near Gold Flat,41.68762,-123.08417
Middle Creek,41.66932,-123.11273
Kelsey Creek,41.64506,-123.11791
Mainstem SR,41.64535,-123.11623
Canyon Creek,41.6321,-123.10492
SR near Canyon creek,41.63416,-123.10572
Peregrine creek,41.63233,-123.08782
Indian Scotty,41.63576,-123.07731
Jones Beach,41.6399,-123.06028
USGS Gauge,41.64059,-123.01502
Mouth of Shackelford,41.63456,-122.96289
Shackleford,41.59396,-122.9741
Kidder Creek,41.543,-122.90538
Scott River on Eller ln,41.51952,-122.85119
Etna Creek,41.45743,-122.87899
French Creek,41.41201,-122.85835
Red bridnge,41.3234,-122.81252
East fork SR,41.30883,-122.79905
South Fork,41.29586,-122.80918
