Site,Lat,Long
Muck-a-Muck ,41.77339,-123.03308
Mill Creek,41.74217,-122.99822
Spring near McGuffy Creek,41.71887,-123.02643
Tompkins Creek,41.69128,-123.107
Kelsey Creek at trailhead,41.64341,-123.1229
Canyon Creek,41.6321,-123.10492
Boulder Creek,41.62439,-123.09928
Shackleford Creek,41.6209,-122.96542
Kidder Creek,41.57695,-122.85994
Patterson Creek,41.51898,-122.86219
Crystal Creek,41.47791,-122.93082
Etna Creek,41.45743,-122.87899
French Creek,41.41201,-122.85835
Sugar Creek,41.3393,-122.82618
Wildcat Creek,41.31192,-122.82065
